"station_id","obsTime","ELEV","WDIR","WDSD","TEMP","HUMD","PRES","SUN","H_24R","H_FX","H_XD","H_FXT","D_TX","D_TXT","D_TN","D_TNT"
"C0G750","2020-03-17 00:00:00","31.000","91.000","0.400","18.400","0.770","1017.900","","-99.000","-99.000","-99.000","-99.000","24.800","","14.400",""
"C0Z270","2020-03-17 00:00:00","343.000","247.000","2.600","13.800","0.710","983.700","","0.000","-99.000","-99.000","-99.000","16.700","","13.500",""
"C0UA30","2020-03-17 00:00:00","1397.000","123.000","0.400","7.600","0.960","865.800","","0.000","-99.000","-99.000","-99.000","10.500","","5.200",""
"C0I080","2020-03-17 00:00:00","536.000","0.000","0.000","14.500","0.860","962.300","","0.000","-99.000","-99.000","-99.000","24.400","","11.700",""
"C0UA00","2020-03-17 00:00:00","392.000","208.000","0.600","12.000","0.810","978.100","","0.000","-99.000","-99.000","-99.000","21.600","","8.600",""
"C0AD40","2020-03-17 00:00:00","32.000","163.000","0.400","16.700","0.630","1016.200","","0.000","-99.000","-99.000","-99.000","23.600","","14.100",""
"C0G900","2020-03-17 00:00:00","20.000","111.000","0.600","20.300","0.690","1017.200","","0.000","-99.000","-99.000","-99.000","23.600","","16.400",""
"C0S660","2020-03-17 00:00:00","794.000","0.000","0.200","11.900","0.900","934.300","","0.000","-99.000","-99.000","-99.000","15.800","","10.900",""
"C0M640","2020-03-17 00:00:00","155.000","0.000","0.000","19.300","0.630","1002.500","","0.000","-99.000","-99.000","-99.000","24.500","","16.300",""
"C0R660","2020-03-17 00:00:00","20.000","155.000","1.600","20.100","0.580","1019.300","","0.000","-99.000","-99.000","-99.000","23.900","","16.200",""
"C0S990","2020-03-17 00:00:00","409.000","355.000","2.800","15.500","0.740","975.500","","0.000","-99.000","-99.000","-99.000","18.600","","14.700",""
"C0E850","2020-03-17 00:00:00","104.000","0.000","0.000","16.100","0.810","1007.800","","0.000","-99.000","-99.000","-99.000","23.900","","9.500",""
"C0T9B0","2020-03-17 00:00:00","558.000","244.000","1.900","14.000","0.630","959.400","","0.000","-99.000","-99.000","-99.000","15.800","","12.300",""
"C0G650","2020-03-17 00:00:00","34.000","0.000","0.000","17.700","0.880","1016.300","","0.000","-99.000","-99.000","-99.000","26.600","","15.000",""
"C0K580","2020-03-17 00:00:00","26.000","0.000","0.000","17.800","0.910","1018.800","","0.000","-99.000","-99.000","-99.000","25.400","","14.400",""
"C0X050","2020-03-17 00:00:00","25.000","182.000","0.400","17.200","0.880","1016.700","","0.000","-99.000","-99.000","-99.000","26.300","","14.900",""
"CM0100","2020-03-17 00:00:00","25.000","132.000","2.300","18.400","0.560","1017.000","","0.000","-99.000","-99.000","-99.000","25.600","","11.600",""
"C0AC70","2020-03-17 00:00:00","71.000","115.000","1.100","19.200","0.430","1012.400","","0.000","-99.000","-99.000","-99.000","22.800","","14.100",""
"CM0130","2020-03-17 00:00:00","11.000","75.000","0.300","21.100","0.620","1020.300","","0.000","-99.000","-99.000","-99.000","23.500","","17.900",""
"C0W110","2020-03-17 00:00:00","16.000","10.000","7.500","14.200","0.810","1021.300","","0.000","-99.000","-99.000","-99.000","17.100","","13.500",""
"C0R670","2020-03-17 00:00:00","26.000","71.000","2.900","19.900","0.580","1019.300","","0.000","9.500","79.000","","22.800","","18.600",""
